package	version	architecture	installed_size_kib	file_size_bytes	sha256	filename
libharfbuzz0b	10.2.0-1+deb13u1	amd64	1346	478952	932165b933e5eb633293afe984a983ebe89cb27c923ce7208626f1da6c0c7941	libharfbuzz0b_10.2.0-1+deb13u1_amd64.deb
libice6	2:1.1.1-1	amd64	142	65376	38185997162793b5dfb768644badc57852879784a2f9d83c6c4e47efa5e36698	libice6_2%3a1.1.1-1_amd64.deb
libidn2-0	2.3.8-2	amd64	446	109096	90b039bcdc4578f8e1c4935adf8dbb525e36a164deefdbbb8c45bac347d48278	libidn2-0_2.3.8-2_amd64.deb
libk5crypto3	1.21.3-5+deb13u1	amd64	266	81152	7da07ee674b47f1f0be7cc89317c25310086a1f1761217d0f72e6ae2c5a69b84	libk5crypto3_1.21.3-5+deb13u1_amd64.deb
libkeyutils1	1.6.3-6	amd64	41	9456	0b11ad17be0300b63ad4eeb4c6450fed24d34b7b740f23e5363dcb29ee6d5eba	libkeyutils1_1.6.3-6_amd64.deb
libkrb5-3	1.21.3-5+deb13u1	amd64	1074	326056	47d71d6a7f2e59b9bae5f89602397594805113b95889ad18fa703cd53abafc97	libkrb5-3_1.21.3-5+deb13u1_amd64.deb
libkrb5support0	1.21.3-5+deb13u1	amd64	137	33124	3a0acd8b37955c0e102c756b52c97df2a31f67b96453c35dab70df218d309117	libkrb5support0_1.21.3-5+deb13u1_amd64.deb
libllvm19	1:19.1.7-3+b1	amd64	126696	25978316	db0d614d61345ca710fb73e75105f1ec6e38898fa7b3aa99fa7eb7d8b0a11d57	libllvm19_1%3a19.1.7-3+b1_amd64.deb
libnspr4	2:4.36-1	amd64	321	109800	87fc2039ee89cff2b8010fa9535706b1def40031acfc52bf12197dcb3cb7b064	libnspr4_2%3a4.36-1_amd64.deb
libnss3	2:3.110-1+deb13u3	amd64	4488	1394680	9f4fb2f6bc2530529dd3e79c411566de696fae1ddeb8d585756cc92543bbcb6b	libnss3_2%3a3.110-1+deb13u3_amd64.deb
libp11-kit0	0.25.5-3	amd64	1882	425240	784bf2063e166c8bc851a32623b74ebd85c499043a9d57c5bbd64fa63447f45a	libp11-kit0_0.25.5-3_amd64.deb
libpango-1.0-0	1.56.3-1	amd64	554	226324	4fa38472696d2ddb10bfc9a4692a9446e8478fdb1f48c769a609fc9fec3adfc5	libpango-1.0-0_1.56.3-1_amd64.deb
libpciaccess0	0.17-3+b3	amd64	97	51920	d9a0091071635a84e837051e4813005ac445071731becea28fba4d9806df5252	libpciaccess0_0.17-3+b3_amd64.deb
libpixman-1-0	0.44.0-3	amd64	715	247888	3862c87596f6b4b60fc916395fd69aa10af28a875a8e5c081a8cf30ddd120bd6	libpixman-1-0_0.44.0-3_amd64.deb
libpng16-16t64	1.6.48-1+deb13u5	amd64	444	283204	2465b4e9fa85cff54dc10a6da3e64074d8d9292c86e4a8f989b809d6b158e97e	libpng16-16t64_1.6.48-1+deb13u5_amd64.deb
libsensors-config	1:3.6.2-2	all	37	16236	3056da80c7d963af795dab480ab6f6f4b154ad4ac39f522dc52d17c834fea253	libsensors-config_1%3a3.6.2-2_all.deb
libsensors5	1:3.6.2-2	amd64	100	37492	f0a994a6d7cfa695dea5343d0d1ba7eed796c0ad920c7282998b95f60049c4f6	libsensors5_1%3a3.6.2-2_amd64.deb
libsm6	2:1.2.6-1	amd64	74	37264	03038b3002e6f44322554e335d60d8ff87acfcf2e21c904b6866610a9913ee00	libsm6_2%3a1.2.6-1_amd64.deb
libtasn1-6	4.20.0-2+deb13u1	amd64	122	50112	23fec6e06583ce2bad9b2c04c9b485e90440e259b1abf8677cd80d3ce60831ad	libtasn1-6_4.20.0-2+deb13u1_amd64.deb
libthai-data	0.1.29-2	all	618	167504	fd38d40602834d510a29140bd27fd48485105e834f03dccab1c02e2edaa794dd	libthai-data_0.1.29-2_all.deb
libthai0	0.1.29-2+b1	amd64	92	49420	e6364c07aeeffe9a95f267061d9df168e48e9dc9126c3b40e19dc829f67702a7	libthai0_0.1.29-2+b1_amd64.deb
libunistring5	1.3-2	amd64	2092	476768	6dd3490bef06ea1096f32d10766b7e016cf579bfae8451d1b7df15ce05b8aa46	libunistring5_1.3-2_amd64.deb
libunwind8	1.8.1-0.1	amd64	216	56252	db21a86dd05c93413f0ef36282a9c64d32410d240f332273a53be1408bec1f62	libunwind8_1.8.1-0.1_amd64.deb
libvulkan1	1.4.309.0-1	amd64	555	130128	f47da79cd140264fe21cceb08bc87a71bc7fec05819e4a421f3f518d21101a37	libvulkan1_1.4.309.0-1_amd64.deb
libwayland-server0	1.23.1-3	amd64	112	34432	2967212bd582e0dffca443fdc44f4c660e7368d41f7ee3a7f6314e0c3abfe9ea	libwayland-server0_1.23.1-3_amd64.deb
libx11-6	2:1.8.12-1	amd64	1638	815292	b5a3fd3bf8c8fd0364bfb9bea00dcba7fc301229bd02dded084632d31f5b0fb3	libx11-6_2%3a1.8.12-1_amd64.deb
libx11-data	2:1.8.12-1	all	1576	343072	c54f87069888f80ba4da586da6147d74c7598ccdd8b90906dbc4271fa414c738	libx11-data_2%3a1.8.12-1_all.deb
libx11-xcb1	2:1.8.12-1	amd64	306	247128	e05f94d21a932fba5b09b9b13d99df776b155d3bc792c0e294451df9ffe1ba25	libx11-xcb1_2%3a1.8.12-1_amd64.deb
